eventId	programId	channel	start	xEnd	description	primeTime
50433604	188493	1	2012-11-26 12:50:00	2012-11-26 13:00:00	Ep. 54 - Politica e	0
50433606	170789	1	2012-11-26 13:00:00	2012-11-26 13:50:00	4' Stagione Ep.403 - 'The	0
50433608	366480	1	2012-11-26 13:50:00	2012-11-26 14:10:00	4' Stagione Ep.3 -	0
50433610	366481	1	2012-11-26 14:10:00	2012-11-26 14:35:00	Ep. 3 - Per mostrare come	0
50433612	228709	1	2012-11-26 14:35:00	2012-11-26 15:15:00	Ep.5 - Il meglio della	0
50433614	362411	1	2012-11-26 15:15:00	2012-11-26 15:40:00	Ep.26 - Alessandro	0
50433616	181483	1	2012-11-26 15:40:00	2012-11-26 16:30:00	7' Stagione Ep.4 - Il	0
50433618	188493	1	2012-11-26 16:30:00	2012-11-26 16:40:00	Ep. 54 - Politica e	0
50433620	177197	1	2012-11-26 16:40:00	2012-11-26 17:05:00	Ep. 5 - Craig Busch e'	0
50433624	170790	1	2012-11-26 17:05:00	2012-11-26 17:55:00	5' Stagione Ep.7 -	0
50433626	170794	1	2012-11-26 17:55:00	2012-11-26 18:40:00	14' Stagione Ep.11 -	0
51031220	358881	1	2012-11-26 18:40:00	2012-11-26 19:10:00	Uno speciale dedicato al	0
50433628	226504	1	2012-11-26 19:10:00	2012-11-26 19:45:00	Ep.27 - L'appuntamento	0
50433630	362376	1	2012-11-26 19:45:00	2012-11-26 20:15:00	Ep.27 - Alessandro	0
50433632	366478	1	2012-11-26 20:15:00	2012-11-26 20:40:00	4' Stagione Ep.4 - In	0
50433634	366477	1	2012-11-26 20:40:00	2012-11-26 21:00:00	Ep. 4 - Per mostrare come	0
50433636	188675	1	2012-11-26 21:00:00	2012-11-26 21:10:00	Ep. 55 - Politica e	0
50433638	364687	1	2012-11-26 21:10:00	2012-11-26 22:00:00	2' Stagione Ep.6 - Ashley	0
50433640	364687	1	2012-11-26 22:00:00	2012-11-26 22:55:00	2' Stagione Ep.7 - La	0
50433642	364069	1	2012-11-26 22:55:00	2012-11-26 23:20:00	Ep.4 - Il magazine di	0
50704448	368090	1	2012-11-26 23:20:00	2012-11-26 23:35:00	Aspettando la 2a stagione	0
50433644	362411	1	2012-11-26 23:35:00	2012-11-27 00:00:00	Ep.27 - Alessandro	0
50433646	111247	1	2012-11-27 00:00:00	2012-11-27 00:35:00	Ep.27 - L'appuntamento	0
51031180	358881	1	2012-11-27 00:35:00	2012-11-27 01:05:00	Uno speciale dedicato al	0
50433648	188493	1	2012-11-27 01:05:00	2012-11-27 01:10:00	Ep. 55 - Politica e	0
50433650	170790	1	2012-11-27 01:10:00	2012-11-27 02:00:00	5' Stagione Ep.7 -	0
50433652	170794	1	2012-11-27 02:00:00	2012-11-27 02:50:00	14' Stagione Ep.11 -	0
50433654	366480	1	2012-11-27 02:50:00	2012-11-27 03:10:00	4' Stagione Ep.4 - In	0
50433656	366481	1	2012-11-27 03:10:00	2012-11-27 03:30:00	Ep. 4 - Per mostrare come	0
50433658	177197	1	2012-11-27 03:30:00	2012-11-27 03:55:00	Ep. 5 - Craig Busch e'	0
50433660	177197	1	2012-11-27 03:55:00	2012-11-27 04:20:00	Ep. 6 - Craig Busch e'	0
